# command: /Users/vishnu/molecular/build/apps/moldyn_run --cells 3 --density 0.80 --temperature 1.0 --cutoff 2.5 --skin 0.4 --dt 0.001 --equilibrate 0 --production 1000 --thermostat none --seed 12345 --truncation linear-force-shift --thermo-out /Users/vishnu/molecular/results/exp02_thermo_dt0.001.csv
# git_sha: dd6f8b8
# host: Darwin arm64
# units: reduced Lennard-Jones units (sigma = epsilon = mass = kB = 1)
# truncation: linear-force-shift
# pressure_includes_tail_correction: no
# potential_energy_includes_tail_correction: no
# temperature_dof: 3N=324 while Langevin drives (equilibration, and Langevin production), 3N-3=321 under the momentum-conserving integrators (NVE, Nose-Hoover), for which the centre-of-mass momentum is re-zeroed at the equilibration/production boundary
step,time,phase,potential_energy,kinetic_energy,total_energy,temperature,pressure
193,0.193,production,-510.7457836,88.74937676,-421.9964068,0.5529556184,-1.414246645
194,0.194,production,-510.6758418,88.67946257,-421.9963793,0.552520016,-1.413121681
195,0.195,production,-510.5928976,88.59655079,-421.9963468,0.5520034317,-1.411546156
196,0.196,production,-510.4975589,88.50124957,-421.9963093,0.5514096546,-1.409538745
197,0.197,production,-510.3905134,88.39424676,-421.9962666,0.5507429705,-1.407123989
198,0.198,production,-510.2725293,88.27631052,-421.9962188,0.5500081652,-1.404329789
199,0.199,production,-510.1444544,88.14828839,-421.996166,0.5492105195,-1.401181611
200,0.2,production,-510.0072134,88.01110513,-421.9961082,0.5483557952,-1.39771013
201,0.201,production,-509.8618057,87.86575973,-421.9960459,0.5474502164,-1.393948842
202,0.202,production,-509.7093005,87.71332143,-421.9959791,0.5465004451,-1.389935657
203,0.203,production,-509.5508334,87.55492512,-421.9959083,0.5455135521,-1.385705194
204,0.204,production,-509.3875988,87.39176493,-421.9958339,0.5444969777,-1.381297047
205,0.205,production,-509.2208427,87.22508609,-421.9957566,0.5434584803,-1.376750375
206,0.206,production,-509.0518529,87.05617602,-421.9956769,0.5424060811,-1.372103581
207,0.207,production,-508.8819502,86.88635476,-421.9955955,0.5413480048,-1.367398524
208,0.208,production,-508.7124777,86.71696465,-421.995513,0.5402926147,-1.362679528
209,0.209,production,-508.5447895,86.54935928,-421.9954302,0.5392483444,-1.357991275
210,0.21,production,-508.3802389,86.3848907,-421.9953482,0.5382236181,-1.353375467
211,0.211,production,-508.2201639,86.22489647,-421.9952675,0.5372267693,-1.348871478
212,0.212,production,-508.065876,86.070687,-421.995189,0.5362659626,-1.344520862
213,0.213,production,-507.9186458,85.92353206,-421.9951137,0.5353491094,-1.340364469
214,0.214,production,-507.7796893,85.7846468,-421.9950425,0.5344837807,-1.336441147
215,0.215,production,-507.6501543,85.65517809,-421.9949762,0.5336771221,-1.332785389
216,0.216,production,-507.531107,85.53619144,-421.9949156,0.5329357722,-1.329431147
217,0.217,production,-507.4235198,85.42865832,-421.9948615,0.5322657839,-1.326409156
218,0.218,production,-507.328259,85.33344442,-421.9948146,0.5316725509,-1.32374703
