# command: /Users/vishnu/molecular/build/apps/moldyn_run --cells 3 --density 0.80 --temperature 1.0 --cutoff 2.5 --skin 0.4 --dt 0.004 --equilibrate 0 --production 250 --thermostat none --seed 12345 --truncation linear-force-shift --thermo-out /Users/vishnu/molecular/results/exp02_thermo_dt0.004.csv
# git_sha: f76287d
# host: Darwin arm64
# units: reduced Lennard-Jones units (sigma = epsilon = mass = kB = 1)
# truncation: linear-force-shift
# pressure_includes_tail_correction: no
# potential_energy_includes_tail_correction: no
# temperature_dof: 3N=324 while Langevin drives (equilibration, and Langevin production), 3N-3=321 under the momentum-conserving integrators (NVE, Nose-Hoover), for which the centre-of-mass momentum is re-zeroed at the equilibration/production boundary
step,time,phase,potential_energy,kinetic_energy,total_energy,temperature,pressure
216,0.864,production,-509.2617064,87.26615091,-421.9955555,0.5437143359,-1.358712431
217,0.868,production,-509.2941912,87.29862405,-421.9955671,0.5439166608,-1.352356493
218,0.872,production,-509.335265,87.33967215,-421.9955929,0.5441724121,-1.346486019
219,0.876,production,-509.384268,87.38859961,-421.9956684,0.5444772561,-1.341138527
220,0.88,production,-509.4396362,87.44378997,-421.9958463,0.5448211213,-1.336280544
221,0.884,production,-509.498225,87.50205514,-421.9961699,0.5451841442,-1.33184371
222,0.888,production,-509.5547789,87.55813236,-421.9966466,0.545533535,-1.327647802
223,0.892,production,-509.6018807,87.60462953,-421.9972512,0.5458232369,-1.323475581
224,0.896,production,-509.6304231,87.63250722,-421.9979159,0.5459969297,-1.319054329
225,0.9,production,-509.6306037,87.63204472,-421.998559,0.5459940481,-1.314081487
226,0.904,production,-509.5932039,87.59410647,-421.9990974,0.5457576727,-1.308295979
227,0.908,production,-509.5108098,87.51133252,-421.9994773,0.5452419472,-1.301420575
228,0.912,production,-509.3786955,87.37902496,-421.9996705,0.544417601,-1.293303169
229,0.916,production,-509.1952796,87.19560584,-421.9996738,0.5432748027,-1.283874157
230,0.92,production,-508.962156,86.96264338,-421.9995127,0.5418233232,-1.273165004
231,0.924,production,-508.6837426,86.68450517,-421.9992375,0.5400903749,-1.261330013
232,0.928,production,-508.3665431,86.36762856,-421.9989145,0.5381160658,-1.248549071
233,0.932,production,-508.018196,86.01959035,-421.9986057,0.5359476034,-1.235037811
234,0.936,production,-507.6465055,85.64812583,-421.9983796,0.5336331827,-1.221033054
235,0.94,production,-507.2584275,85.26013134,-421.9982961,0.5312157716,-1.206779731
236,0.944,production,-506.8591987,84.8608186,-421.9983801,0.5287278417,-1.192479944
237,0.948,production,-506.4518875,84.45326511,-421.9986224,0.5261885677,-1.178273886
238,0.952,production,-506.0374827,84.03851204,-421.9989707,0.5236044364,-1.164229474
239,0.956,production,-505.6156665,83.61635851,-421.999308,0.5209741963,-1.150385467
240,0.96,production,-505.1864371,83.18696618,-421.9994709,0.5182988547,-1.136794718
241,0.964,production,-504.752373,82.75308922,-421.9992838,0.5155955715,-1.123606381
242,0.968,production,-504.3210554,82.32245982,-421.9985956,0.5129125223,-1.111111816
243,0.972,production,-503.9070505,81.90971484,-421.9973357,0.5103409024,-1.099788076
244,0.976,production,-503.5326824,81.53711636,-421.9955661,0.5080194166,-1.090314719
245,0.98,production,-503.2269335,81.23345003,-421.9934835,0.5061274145,-1.083555448
246,0.984,production,-503.0223558,81.03095312,-421.9914027,0.5048657515,-1.08045884
247,0.988,production,-502.950284,80.9605769,-421.9897071,0.5044272704,-1.081897994
248,0.992,production,-503.0351692,81.04641557,-421.9887536,0.5049620908,-1.088521702
249,0.996,production,-503.2893275,81.30052981,-421.9887977,0.5065453571,-1.100545416
250,1,production,-503.7092623,81.71934225,-421.9899201,0.5091547804,-1.117729045
