# command: /Users/vishnu/molecular/build/apps/moldyn_run --cells 3 --density 0.80 --temperature 1.0 --cutoff 2.5 --skin 0.4 --dt 0.002 --equilibrate 0 --production 500 --thermostat none --seed 12345 --truncation linear-force-shift --thermo-out /Users/vishnu/molecular/results/exp02_thermo_dt0.002.csv
# git_sha: 29c88d5
# host: Darwin arm64
# units: reduced Lennard-Jones units (sigma = epsilon = mass = kB = 1)
# truncation: linear-force-shift
# pressure_includes_tail_correction: no
# potential_energy_includes_tail_correction: no
# temperature_dof: 3N=324 while Langevin drives (equilibration, and Langevin production), 3N-3=321 under the momentum-conserving integrators (NVE, Nose-Hoover), for which the centre-of-mass momentum is re-zeroed at the equilibration/production boundary
step,time,phase,potential_energy,kinetic_energy,total_energy,temperature,pressure
197,0.394,production,-493.3387112,71.341907,-421.9968042,0.4444978629,-0.7360401999
198,0.396,production,-493.2017066,71.20523697,-421.9964697,0.4436463363,-0.7316182404
199,0.398,production,-493.0718983,71.07578001,-421.9961183,0.4428397508,-0.7276729605
200,0.4,production,-492.9544133,70.95864985,-421.9957635,0.4421099679,-0.7243613221
201,0.402,production,-492.8544241,70.85900701,-421.9954171,0.4414891402,-0.7218383414
202,0.404,production,-492.7769589,70.78186819,-421.9950907,0.4410085245,-0.7202528127
203,0.406,production,-492.7267184,70.73192184,-421.9947965,0.4406973323,-0.7197354964
204,0.408,production,-492.7078957,70.7133514,-421.9945443,0.4405816287,-0.7204079183
205,0.41,production,-492.7240232,70.7296807,-421.9943425,0.4406833689,-0.7223710582
206,0.412,production,-492.7778461,70.78364977,-421.9941963,0.4410196248,-0.7257014821
207,0.414,production,-492.8712331,70.87712336,-421.9941098,0.4416020147,-0.7304463231
208,0.416,production,-493.0051185,71.01103488,-421.9940836,0.4424363544,-0.7366207755
209,0.418,production,-493.1794831,71.18536589,-421.9941172,0.4435225289,-0.7442241633
210,0.42,production,-493.3933753,71.39917033,-421.9942049,0.4448546438,-0.7532072935
211,0.422,production,-493.644979,71.65063715,-421.9943419,0.4464214153,-0.7635014563
212,0.424,production,-493.9316979,71.93717831,-421.9945196,0.4482067184,-0.7750129159
213,0.426,production,-494.2502763,72.25554679,-421.9947295,0.4501903227,-0.7876286882
214,0.428,production,-494.5969336,72.6019719,-421.9949617,0.4523487346,-0.8012151114
215,0.43,production,-494.9675097,72.9723026,-421.9952071,0.454656091,-0.8156302186
216,0.432,production,-495.3576059,73.36214869,-421.9954573,0.4570850386,-0.8307203306
217,0.434,production,-495.7627167,73.76701225,-421.9957045,0.459607553,-0.8463288293
218,0.436,production,-496.1783486,74.18240607,-421.9959425,0.4621956765,-0.8623019632
219,0.438,production,-496.600119,74.60395215,-421.9961668,0.4648221318,-0.8784883717
220,0.44,production,-497.023832,75.02745754,-421.9963745,0.4674607946,-0.8947394993
221,0.442,production,-497.4455295,75.44896527,-421.9965642,0.4700870111,-0.9109067938
222,0.444,production,-497.8615179,75.86478165,-421.9967362,0.4726777673,-0.9268540094
223,0.446,production,-498.268377,76.27148654,-421.9968905,0.4752117541,-0.9424572907
224,0.448,production,-498.6629604,76.66593115,-421.9970292,0.477669353,-0.9575951434
225,0.45,production,-499.0423775,77.04522365,-421.9971539,0.4800325461,-0.972162954
226,0.452,production,-499.403979,77.40671371,-421.9972653,0.4822848206,-0.9860612349
227,0.454,production,-499.7453456,77.74798045,-421.9973651,0.4844110931,-0.9991951653
228,0.456,production,-500.0642755,78.06682122,-421.9974543,0.48639764,-1.01147816
229,0.458,production,-500.3587789,78.36124709,-421.9975318,0.4882320691,-1.02283352
230,0.46,production,-500.6270907,78.62949353,-421.9975972,0.4899033865,-1.033193227
231,0.462,production,-500.8676861,78.87003702,-421.9976491,0.4914020998,-1.042498953
232,0.464,production,-501.079302,79.08161612,-421.9976859,0.4927203496,-1.050708188
233,0.466,production,-501.2609672,79.26326208,-421.9977052,0.4938521002,-1.057789611
234,0.468,production,-501.4120357,79.41433035,-421.9977053,0.4947933355,-1.063720033
235,0.47,production,-501.5322166,79.53453174,-421.9976848,0.4955422538,-1.068496893
236,0.472,production,-501.6215989,79.62395683,-421.9976421,0.4960994195,-1.072119426
237,0.474,production,-501.6806725,79.68309636,-421.9975761,0.4964678901,-1.074599645
238,0.476,production,-501.7103426,79.71285522,-421.9974874,0.4966533036,-1.075965399
239,0.478,production,-501.7119284,79.71455179,-421.9973766,0.4966638741,-1.076261196
240,0.48,production,-501.6871515,79.68990676,-421.9972448,0.4965103225,-1.07555122
241,0.482,production,-501.6381159,79.64102134,-421.9970946,0.4962057405,-1.073908012
242,0.484,production,-501.5672696,79.57034016,-421.9969294,0.4957653592,-1.071414165
243,0.486,production,-501.4773531,79.48060039,-421.9967527,0.4952062329,-1.06817058
244,0.488,production,-501.3713417,79.374772,-421.9965697,0.494546866,-1.064284969
245,0.49,production,-501.252371,79.25598509,-421.9963859,0.4938067607,-1.059866609
246,0.492,production,-501.1236537,79.1274475,-421.9962062,0.4930059034,-1.055028147
247,0.494,production,-500.9884015,78.99236596,-421.9960355,0.4921642739,-1.049881433
248,0.496,production,-500.8497485,78.85386933,-421.9958792,0.4913013665,-1.044538376
249,0.498,production,-500.7106748,78.71493443,-421.9957404,0.4904357286,-1.039108858
